투수명,연도,K/9,BB/9,HR/9,FIP*,ERA*,RA9*,보정FIP,보정피안타,PAI(100),시뮬_안타,시뮬_아웃,시뮬_피안타율
강길용,1992,4.93,4.6,1.18,92.21860521176211,97.74239702714787,94.16749138316203,84.75505507240162,94.01805777313857,87.5339558826227,291,709,0.291
강길용,1993,4.03,5.03,0.66,79.62746003090882,70.17705259212505,76.60328197171357,73.88275572946937,94.0858074964489,79.94367125956322,301,699,0.301
강길용,1994,5.01,5.54,0.66,76.99804814671973,77.17723330129073,66.32616268177603,81.03766379799497,103.84793385434534,87.88074481490008,335,665,0.335
강길용,1995,5.39,2.2,1.0,83.74110983104305,82.6470474879636,93.44649969751391,94.37074917387346,113.69101486129571,100.16682888010013,247,753,0.247
강길용,1996,6.06,2.36,0.56,115.07715303845187,105.67365937826492,108.2998128810941,119.51405674445598,100.5296865603963,113.81874568923807,237,763,0.237
강길용,1997,5.71,4.08,0.82,91.69230341881739,85.26557934745304,76.45307381330187,96.86642122052375,92.48112098673356,95.55083115038668,288,712,0.288
강길용,1999,6.38,3.83,2.55,60.54434909201892,28.604831009222544,28.767490670331856,72.86785015889548,64.62184207486435,70.39404773368614,377,623,0.377
강대성,1990,1.64,4.91,0.0,77.13691642909154,64.69084940432235,73.65113475659805,93.88075069417607,100.96034505738797,96.00462900313963,263,737,0.263
강동연,2016,7.5,7.5,2.5,50.75946927166447,50.87816747366636,48.685827797068654,62.92639532667097,91.55326784172603,71.51445708118749,372,628,0.372
강동연,2018,4.02,4.02,1.61,63.753892408752144,77.90618845076145,73.96665080761504,78.58392361088832,118.78658044687437,90.64472066168413,325,675,0.325
강동연,2020,6.38,4.12,1.12,80.38880086766795,68.57439055343623,70.73595564614325,92.95960691448366,89.40471510833059,91.89313937263773,304,696,0.304
강동연,2021,5.48,5.48,1.57,61.94973856107779,49.110499404109156,51.51199734337213,71.6577852187537,93.48701525490733,78.20655422959979,337,663,0.337
강동연,2022,3.29,3.29,2.2,46.07688341556141,32.14022163062287,35.99837291343333,56.228213430829726,62.31915664198954,58.055496394177666,366,634,0.366
강동호,2017,5.69,3.5,1.75,73.09521745770087,92.96198114859276,92.51609996708194,81.62816604694787,100.22282640968362,87.20656415576859,317,683,0.317
강동호,2020,6.55,4.91,2.45,54.55071449297013,53.788994879404115,58.94651407228466,65.54815239029685,89.83356612216119,72.83377650985615,336,664,0.336
강리호,2009,8.89,7.88,1.35,81.72997470810452,85.7991387307577,88.16163069308372,82.76612257886771,118.06149968141443,93.35473570963171,309,691,0.309
강리호,2010,6.6,7.8,1.2,60.167361155915366,53.0991816969624,53.74442055927713,72.0450054876059,96.3726457170027,79.34329755642494,357,643,0.357
강리호,2011,4.71,4.71,0.0,93.60469870121611,161.96406607934517,179.41436403275955,111.08021037916794,119.6706215790946,113.65733373914594,264,736,0.264
강리호,2012,9.13,5.32,1.01,89.63896407241116,97.59530776494817,104.16935777000437,85.7722143357467,120.13284673609269,96.0804040558505,254,746,0.254
강리호,2013,9.07,5.19,0.42,118.58722843682547,105.68763217106174,104.73411108342239,110.82952518321808,108.81647287186938,110.22560948981346,260,740,0.26
강리호,2014,7.71,6.86,3.64,49.649796881510156,62.753898969703464,57.145956377690744,53.876432337420724,83.26333731041794,62.69250382931989,386,614,0.386
강리호,2017,8.47,3.99,2.32,68.81015473725955,102.86563426792173,100.51605098537648,74.8254779846459,103.99267965374342,83.57563848537515,333,667,0.333
강리호,2018,10.79,4.32,1.66,89.60113791418394,78.38273728592267,76.74733941981809,97.33192518648899,108.40313810011962,100.65328906057817,285,715,0.285
강리호,2019,7.86,3.85,0.64,97.28941226044962,86.43964261053647,92.10167505242136,104.94866268443495,97.55032900071336,102.72916257931847,260,740,0.26
강리호,2020,6.43,4.71,1.29,74.20797396782845,59.90331389770875,65.64710018405333,85.97235050349252,77.38795232495283,83.39703104993062,312,688,0.312
강리호,2021,8.44,7.88,1.69,57.82337316769319,44.69784739192737,49.22475398082225,68.16887303668392,74.37878525901417,70.031846703383,342,658,0.342
강리호,2021,8.44,7.88,1.69,57.82337316769319,44.69784739192737,49.22475398082225,68.16887303668392,74.37878525901417,70.031846703383,358,642,0.358
강리호,2022,11.52,2.56,0.0,196.08644015669043,63.67499595478555,54.56113370893997,228.50137556685627,88.78675212700439,186.58698853490068,140,860,0.14
강만식,1982,5.38,4.31,0.69,117.13355344648575,102.04337076775224,96.5080441222048,100.03399412684325,93.00888703888953,97.92646200045714,277,723,0.277
강만식,1983,4.88,2.11,0.48,136.03195434776111,122.17890955466707,103.57174991729492,131.90430369080906,103.26634145714863,123.31291502071092,195,805,0.195
강만식,1984,4.18,2.51,0.98,101.27955628755059,110.9943184698227,106.58620780695351,91.19076904847249,95.31387563444042,92.42770102426286,278,722,0.278
강만식,1985,2.86,2.0,1.0,102.12858424784184,122.7583526329259,134.7047914248216,88.38218319345549,101.16416497616024,92.2167777282669,273,727,0.273
강만식,1986,2.99,3.12,0.75,83.76994460439256,70.62260056776475,75.52890957677766,84.11941684720449,77.50932255807685,82.13638856046619,326,674,0.326
강만식,1987,1.29,3.54,1.61,53.826801679985124,51.926400368839204,55.94284760778248,60.12199004055606,97.79266343272737,71.42319205820743,349,651,0.349
강만식,1989,3.24,3.24,1.62,55.63727057695069,39.40882081829777,44.32232469270191,66.3621895661712,73.0186779288986,68.35913607498941,339,661,0.339
강민기,1990,3.19,7.66,3.19,36.26898187970871,40.090122934662425,39.56370254856748,42.87158911588426,69.57716901441684,50.883263085444035,402,598,0.402
강민영,2000,8.71,4.6,2.66,60.17827497283964,52.83324759539476,56.436662465198054,66.57879143337404,85.34977106702031,72.21008532346792,358,642,0.358
강민영,2001,8.43,4.98,1.53,83.13620668085446,68.31776612713033,71.58178824726468,90.8250637348517,92.6217627926342,91.36407345218645,322,678,0.322
강봉수,1993,4.67,3.99,0.23,100.41846732359038,161.67705015868506,156.0396663391769,104.43795659307388,94.98852440662786,101.60312693714008,258,742,0.258
강봉수,1994,5.21,3.55,0.24,103.6913777740224,125.22265691027457,86.51847743494815,118.23634900447529,99.0535080323103,112.48149671282579,215,785,0.215
강봉수,1995,4.7,2.74,0.39,92.58023784606499,53.30295923725434,56.5072874439332,109.52040684052595,74.37540544402054,98.97690642157433,286,714,0.286
강봉수,1996,3.55,5.33,1.78,46.93205704992732,53.38562218233277,60.16727353756409,56.284123138938064,88.57497496817268,65.97137868770845,354,646,0.354
강봉수,1996,3.55,5.33,1.78,46.93205704992732,53.38562218233277,60.16727353756409,56.284123138938064,88.57497496817268,65.97137868770845,353,647,0.353
강병규-,1991,3.44,3.89,0.6,87.17696701116293,138.35360977439902,116.520518589144,93.80303413710371,93.15569852413209,93.60883345321223,296,704,0.296
강병규-,1992,4.42,3.35,1.07,87.81237310623787,80.70533983911875,88.19210895913842,92.7519834135024,85.98215776954676,90.7210357203157,295,705,0.295
강병규-,1993,4.53,2.33,0.26,122.63375830258214,110.3450425000194,115.59294695292675,117.23534698088109,97.85248079416635,111.42048712486667,239,761,0.239
강병규-,1994,4.73,2.88,0.46,94.62080095296169,84.65124566861591,76.90159630120837,97.54257915383626,82.11963347920472,92.9156954514468,308,692,0.308
강병규-,1995,4.36,3.4,1.05,80.33884000392172,80.8676806381399,86.54639486327528,79.87332855793014,86.87913392793477,81.97507016893152,307,693,0.307
강병규-,1996,4.08,3.34,0.67,91.1130742487439,94.77887091381044,91.59161614001246,88.44647104347723,91.77512774817082,89.4450680548853,306,694,0.306
강병규-,1997,4.72,3.23,0.35,118.31199515098761,112.5362936167116,107.08110626327257,117.69880189762763,91.54955743292889,109.854028558218,259,741,0.259
강병규-,1998,4.97,2.69,0.67,111.69054565472703,115.37595812924653,122.51925206391864,106.262278375839,90.27226344705015,101.46527389720234,258,742,0.258
강병규-,1999,5.79,3.02,1.19,107.74520593005087,101.4605910361065,100.0736523362687,101.18593174636138,93.44414776667664,98.86339655245594,306,694,0.306
강병규-,2000,2.4,4.47,2.4,52.97897168620175,47.634860538803295,52.423705036049896,60.75801913234656,72.5792317552467,64.30438291921661,391,609,0.391
강상수,1994,6.08,2.9,1.06,97.69626668654648,106.14809135182836,105.60127585686557,96.40363543305726,90.53886383648637,94.64420395408598,262,738,0.262
강상수,1995,5.65,1.76,0.53,122.3716445252863,112.60152794485055,109.9985692357247,119.80929999322899,94.39955306356454,112.18637591432964,269,731,0.269
강상수,1996,5.31,2.6,0.51,126.70365781759328,105.17698559436673,106.30284509500734,111.4182213610945,87.9902911999043,104.38984231273744,263,737,0.263
강상수,1997,6.23,4.0,0.62,107.69354178737349,81.2489071169515,80.74662512658685,103.62648584456359,77.95550925378267,95.9251928673293,291,709,0.291
강상수,1998,6.89,3.49,1.3,89.03128149166484,92.70475465661283,96.86922543703858,85.78096059921872,104.10216820666284,91.27732288145194,294,706,0.294
강상수,1999,7.69,3.73,0.82,119.99010600924609,173.38445706136193,174.99211901127717,123.36242410763563,117.80345373456133,121.69473299571334,220,780,0.22
강상수,2000,8.37,2.79,0.63,140.70489578609204,245.32124404963625,199.22932997164352,148.3114526438897,130.4842311084036,142.96328618324387,183,817,0.183
강상수,2001,6.27,4.85,1.21,93.7406772084068,98.67665034480294,99.12435581588815,94.2204128273421,105.90795453828694,97.72667534062555,282,718,0.282
강상수,2002,5.4,5.89,0.98,76.32588302630377,86.43762665282175,78.53624977955305,81.60594821997816,85.43983892762168,82.75611543227122,321,679,0.321
강상수,2003,7.83,4.83,2.5,62.070540818709496,71.82212130990982,74.4236003237947,67.16947368551985,96.67526703380877,76.02121169000652,338,662,0.338
강상수,2004,4.37,5.14,1.29,70.66258272617827,92.57968567057169,101.95820602431093,79.72791852437004,84.21844613582013,81.07507680780506,300,700,0.3
강상수,2005,5.26,6.8,1.24,57.50077987847512,44.622882154310744,49.172332740791205,65.6174816480332,85.20084627231957,71.4924910353191,354,646,0.354
강상수,2006,6.97,3.8,1.27,67.01116435439812,37.61779372803029,41.93683473292876,80.17108953970936,67.17426105040984,76.2720409929195,333,667,0.333
강상진,1986,3.65,4.46,0.81,63.68683719094444,51.734044376541235,53.43232170171277,73.34360431510045,91.83237299417767,78.89023491882361,306,694,0.306
강상진,1987,2.6,6.4,0.4,69.47259213864301,51.36492548663211,54.824518567500085,74.86182736241494,87.29524250784492,78.59185190604393,334,666,0.334
강승현,2014,5.19,3.46,3.46,49.455698799861096,17.232809999209255,15.78224075906096,59.379282452704224,53.944031780863945,57.74870725115214,394,606,0.394
강승현,2016,7.78,5.56,2.22,59.76110407326105,43.82595302485281,47.921281788009416,72.72501154734384,74.99982581192856,73.40745582671926,343,657,0.343
강승현,2017,9.45,3.54,0.94,105.73907837685641,75.3736774122889,78.67556729656202,118.90427640145442,98.16613573176569,112.6828342005478,235,765,0.235
강영식,2000,7.42,5.08,1.56,76.78886931718284,60.66440066043283,61.63427993254145,83.41525118210738,94.40326655146798,86.71165579291556,309,691,0.309
강영식,2002,8.34,4.36,1.04,101.67348124334269,112.88201566196753,113.20282597804636,100.59977106270215,106.76703437680678,102.44995005693353,274,726,0.274
강영식,2003,8.53,5.33,0.64,111.47247930607539,92.72749557909744,101.89902777716364,121.74282140222616,104.94664556363662,116.7039686506493,233,767,0.233
강영식,2004,9.62,4.81,0.69,98.64788805732022,59.36623050973249,65.38015675205588,117.6448987254414,93.73969917033342,110.47333885890899,253,747,0.253
강영식,2005,10.67,7.79,1.15,72.19718985991963,77.7502264911758,80.92656560956301,81.00351137917083,112.48872305133574,90.44907488082029,306,694,0.306
강영식,2006,10.16,6.68,0.29,93.45485358327292,68.26966436362123,64.11266159612804,105.70653010204713,123.5010947649079,111.04489950090536,258,742,0.258
강영식,2007,10.03,3.34,1.29,93.1772076209439,88.41793463167461,97.2732821982603,106.48999994112246,118.50635506985834,110.09490647974322,254,746,0.254
강영식,2008,6.58,2.09,0.96,99.16201633338933,129.98936502080747,122.3218454995299,108.75361846402664,139.8832009702937,118.09249321590676,223,777,0.223
강영식,2009,5.8,5.24,1.12,85.4063985216426,90.69368759512439,91.83641086772751,93.14038193523865,94.89586429630816,93.6670266435595,312,688,0.312
강영식,2010,10.0,4.14,1.03,118.0321668857521,95.49708885469457,97.23809531335526,127.23888539870975,100.27587350570695,119.1499818308089,260,740,0.26
강영식,2011,8.56,4.83,1.1,81.8708545091688,106.15959217261965,117.59741636948584,90.60029210365761,107.32631748816637,95.61809971901023,302,698,0.302
강영식,2012,10.7,4.15,0.44,132.23819107321452,88.33606221137424,90.89949523080932,146.76266709603468,94.71457176882947,131.1482384978731,212,788,0.212
강영식,2013,9.18,4.36,0.23,118.15196236817353,100.6400478540446,109.20863088641815,131.08588008080534,115.14451246978872,126.30346979750036,206,794,0.206
강영식,2014,8.04,4.6,0.77,101.18387500811158,102.02099527778313,110.94526299768323,108.74548672679133,104.79231916185115,107.55953645730926,297,703,0.297
강영식,2015,10.84,2.36,1.41,106.87991364758565,102.92379894268228,96.53421844809091,120.87949452015089,98.35190613805264,114.1212180055214,272,728,0.272
강영식,2016,8.84,7.23,1.61,65.44670121266401,79.48015912353125,76.06137899141457,78.98437097613913,96.99476964509756,84.38749057682665,331,669,0.331
강장산,2015,3.21,5.36,1.07,63.92836242074712,73.73433658288705,75.91905693483577,75.41250406037702,99.69468110939837,82.69715717508342,315,685,0.315
강장산,2017,5.52,5.17,1.03,69.58651964727451,78.71515030065287,80.42686346857748,80.41619701371118,102.31493556264726,86.985818578392,306,694,0.306
강장산,2017,5.52,5.17,1.03,69.58651964727451,78.71515030065287,80.42686346857748,80.41619701371118,102.31493556264726,86.985818578392,330,670,0.33
강재민,2020,10.47,3.31,0.55,140.4109664549883,166.09398120733422,159.34446958296684,156.07098728275292,115.32322307247873,143.84665801967066,175,825,0.175
강재민,2021,7.84,3.71,0.29,123.20127804718447,192.28660543227576,198.58389204945166,133.17711169085766,112.48600419834037,126.96977944310245,225,775,0.225
강재민,2022,6.87,5.11,1.23,73.40059698425765,88.23608657317882,91.24253630648812,80.40751750667725,106.2995677768286,88.17513258772266,333,667,0.333
강재민,2023,8.77,3.97,1.04,76.21721310221247,57.806261723127065,64.71564921902747,84.81199701540885,114.21376066756133,93.63252611105459,320,680,0.32
강지광,2019,4.98,3.65,0.0,105.93949431391553,91.2771427703897,86.36405554019233,122.48871865736253,108.15770200846474,118.18941366269318,216,784,0.216
강철민,2002,5.36,2.56,1.05,97.22765512165222,73.06983652687529,77.43106905592336,99.27069526472313,80.52294227254846,93.64636936707073,305,695,0.305
강철민,2003,4.4,4.4,1.6,72.90828680556706,87.62872413305298,87.39619566062275,72.83622124771723,105.43208469991463,82.61498028337644,320,680,0.32
강철민,2004,5.33,3.78,0.87,103.54244355560607,88.35674825680893,89.04019096064648,94.61796818079834,90.90495214361296,93.50406336964272,288,712,0.288
강철민,2005,6.64,5.08,1.37,76.8818104205959,91.5959705405647,93.18558009675947,75.60786691818242,90.42504785562865,80.05302119941629,325,675,0.325
강철민,2006,4.95,5.57,0.77,74.44165017062713,123.45519491315946,130.41065814546067,78.21239126406388,99.24997070198054,84.52366509543887,322,678,0.322
강철민,2010,8.04,6.43,1.61,60.330102369139645,69.61675531793546,76.32645707143243,73.43262048703616,125.35690006798094,89.0099043613196,296,704,0.296
강철원,1982,2.99,4.59,0.2,102.3312316526151,170.236210363734,193.28610763781757,106.19928972740605,112.79979603318301,108.17944161913914,255,745,0.255
강철원,1983,3.04,3.33,1.74,60.32635664437781,51.26338125605654,62.86674069600831,61.38224608714945,82.18541038840443,67.62319537752595,346,654,0.346
강철원,1986,2.25,3.75,2.25,38.30525635372159,29.054205142502813,34.615653852183605,45.087103898576025,72.31587479882513,53.25573516865076,370,630,0.37
강태원,1989,5.27,2.84,2.03,59.632691340682065,36.560413243787615,41.11877678761024,69.70735713038626,72.27999631100383,70.47914888457153,344,656,0.344
강태원,1990,2.81,2.56,1.79,62.05012381490246,47.10558205035044,47.13731773792233,69.62115127179267,80.7992930490002,72.97459380495494,333,667,0.333
강태원,1991,6.88,4.24,1.59,65.05532127691838,45.916734937021474,40.07762440700016,76.17254838033885,58.99720769130078,71.01994617362743,347,653,0.347
강태원,1992,10.0,3.75,3.75,48.98445792121473,30.179353143669864,33.84514703171199,59.63787585826155,60.545110865068025,59.91004636030349,365,635,0.365
강태원,1993,3.33,3.33,1.17,66.44556645026361,80.95374074809345,75.90988115973019,72.08057769107401,90.59253567992347,77.63416508772885,314,686,0.314
강태원,1994,4.88,2.33,0.22,123.4662081444009,107.63309908165014,114.16419637235397,125.02020074013188,101.86731983980152,118.07433647003278,226,774,0.226
강태원,1995,6.47,2.51,0.63,111.51653423186313,148.41979103236537,125.9861733422127,111.3217502245514,96.35897920353891,106.83291891824766,272,728,0.272
강태원,1996,6.44,3.0,0.44,119.30989367462605,130.22904051337682,114.75584321845585,121.07997768233075,100.38658966000554,114.87196127563318,232,768,0.232
강태원,1997,5.14,3.59,0.9,90.39744860411825,120.59844363610722,119.94164380979616,93.94491544295894,106.97700108882525,97.85454113671884,292,708,0.292
강태원,1998,4.48,2.99,1.87,60.844959670530564,47.048664874184134,50.22190508428484,69.69875022530084,81.9728465736345,73.38097912980093,330,670,0.33
강태원,1999,6.68,2.32,2.61,62.796539431980385,68.94825760026066,72.09387746648319,70.83615563511947,88.70857470318722,76.19788135553979,372,628,0.372
강태원,2000,10.36,3.82,1.64,86.83968209816135,92.98320523371478,90.98402573939322,98.54264630729512,105.9738468296568,100.77200646400361,283,717,0.283
강태원,2001,7.13,5.35,2.67,50.31481959671972,44.954137326592715,49.95206502371793,60.63457146621064,78.11788512388472,65.87956556351286,376,624,0.376
강희석,1994,3.56,3.56,1.34,59.94417528835161,90.33380539408431,101.97877814984813,70.92453506598872,119.36209764210935,85.4558038388249,296,704,0.296
강희석,1999,3.49,3.12,1.1,85.26155709179072,88.0711018505428,74.90779621363721,93.47537494198332,106.27105493528954,97.31407893997518,275,725,0.275
강희석,2000,5.74,3.98,1.57,82.98464424548858,62.27635263469808,64.60313165684286,81.272456684774,85.55121022460119,82.55608274672215,337,663,0.337
강희석,2001,7.33,3.67,1.63,77.59883520306813,91.14909645836231,74.31873727940308,90.5184375502607,93.58294528204055,91.43778986979464,289,711,0.289
경헌호,2000,5.92,2.96,0.85,107.55917067329179,103.40260379683477,103.70380900643507,110.75372040447006,95.97805874726647,106.32102190730897,231,769,0.231
경헌호,2001,8.54,4.04,0.9,113.42499715460814,104.53536870649882,107.8780760045762,117.04041115146121,96.64481067541425,110.92173100864713,252,748,0.252
경헌호,2002,7.95,3.63,0.52,114.15261766543276,82.99030053567087,82.3918889940103,125.43936610453808,98.63885609109151,117.39921310050411,235,765,0.235
경헌호,2003,9.36,4.36,1.03,110.78321023153022,96.78448177787011,90.02750173644817,116.35646158862991,95.4712046047192,110.0908844934567,265,735,0.265
경헌호,2004,5.49,1.1,1.1,93.56401998283819,330.7775145692122,183.01577495552436,116.22665921735354,152.059057343967,126.97637865533757,196,804,0.196
경헌호,2005,6.16,2.33,0.5,111.41538516660763,97.74874774670609,103.41635335000093,120.78909510737202,107.92222972243877,116.92903549189204,239,761,0.239
경헌호,2006,4.85,2.77,0.52,99.36855409932363,95.01304162870534,92.14057428916117,108.29445603882073,98.29678971084508,105.29515614042802,249,751,0.249
경헌호,2007,6.49,4.05,1.62,65.82168333267822,56.19445722862242,51.533161071146615,76.7238763054837,89.94648445279454,80.69065874967694,319,681,0.319
경헌호,2008,5.26,2.73,0.78,92.76446864021173,160.63239656316424,162.75814492418598,102.21681497591725,104.50264185619113,102.90256303999941,273,727,0.273
경헌호,2009,6.62,3.18,1.59,83.17286524387842,88.48755986208971,86.85088998428368,94.45886380407002,85.35234250869583,91.72690741545776,302,698,0.302
계형철,1982,4.2,7.59,0.6,85.89721574873707,87.10337883894022,89.59872426991815,78.13252998709169,115.23700819106702,89.26387344828427,314,686,0.314
계형철,1983,4.01,3.36,0.51,119.70722230224898,112.18976004826634,105.03283088804064,101.95980544453356,92.28174566789761,99.05638751154277,251,749,0.251
계형철,1984,4.75,3.25,0.41,132.7749127916492,184.84274659373216,199.10355426229378,113.42014978312542,110.7058738228497,112.6058669950427,251,749,0.251
계형철,1985,3.9,2.92,0.79,114.6270495813466,146.97783764748831,145.6818617556522,98.37978548577176,105.8341133078254,100.61608383238784,278,722,0.278
계형철,1986,3.81,4.05,0.65,89.00804518637635,100.43765090504105,97.28373487396526,86.08056172206153,99.44851856164964,90.09094877393795,298,702,0.298
계형철,1987,3.22,4.5,0.18,107.46051896394228,149.38389653627434,123.58546687615542,97.4502881095665,112.253747262209,101.89132585535924,266,734,0.266
계형철,1988,3.34,4.32,0.49,103.78958300303137,110.22695138121402,113.99964658908944,95.25841625515203,102.13539364957575,97.32150947347914,286,714,0.286
계형철,1989,3.92,3.61,0.52,99.26054753484773,102.94665730160564,101.34447659610755,100.01406684522219,92.72897984302458,97.8285407445629,260,740,0.26
계형철,1990,3.39,4.65,0.55,95.30552181684492,74.23519540769472,78.81663753897824,91.64200848754282,87.07656685567918,90.27237599798373,267,733,0.267
