투수명,연도,K/9,BB/9,HR/9,FIP*,ERA*,RA9*,피OPS,타자OPS(연도평균),보정FIP,보정피안타,PAI(100),시뮬_안타,시뮬_아웃,시뮬_피안타율
가내영,1992,4.12,3.95,,98.56731582190812,81.39738955525537,86.00173025561382,,0.807,95.4,82.6,91.6,561,439,0.561
가내영,1993,4.0,2.39,,105.6772689006182,101.93521501118632,108.86897086984503,,0.713,100.8,99.5,100.4,463,537,0.463
가내영,1994,3.97,2.12,,87.05122969863221,66.4831026435558,67.91835635185983,,0.755,97.0,80.0,91.9,516,484,0.516
가내영,1995,5.1,2.13,,97.45515428427314,74.55352466282159,77.16474781842463,,0.75,96.5,84.6,92.9,517,483,0.517
가내영,1996,6.29,2.1,,122.05285900791267,114.90215176661896,109.79382958028368,,0.762,115.6,104.0,112.1,460,540,0.46
가내영,1997,5.25,3.04,,76.19406765225713,65.03431982934926,67.70211797090147,,0.808,79.4,82.9,80.5,575,425,0.575
가내영,1998,4.04,1.8,,84.68986163851827,83.75745188326944,89.18779360353147,,0.792,95.0,102.0,97.1,497,503,0.497
가내영,1998,4.04,1.8,,84.68986163851827,83.75745188326944,89.18779360353147,,0.792,95.0,102.0,97.1,508,492,0.508
가내영,1999,6.36,3.72,,94.07278204402404,91.14740414504107,93.2550495156966,,0.876,90.5,94.1,91.6,557,443,0.557
가내영,2000,6.79,1.7,,59.49655206067116,52.91303019999295,58.23250149978749,,0.865,69.3,77.1,71.6,603,397,0.603
가내영,2001,5.27,3.73,,71.69433573257996,72.0521796340876,67.57079112062581,,0.865,79.2,92.9,83.3,602,398,0.602
가내영,2001,5.27,3.73,,71.69433573257996,72.0521796340876,67.57079112062581,,0.865,79.2,92.9,83.3,570,430,0.57
가내영,2002,6.48,2.88,,96.22684176287486,145.2275854094185,102.07053807149934,,0.85,111.1,82.3,102.5,512,488,0.512
가뇽,2020,7.97,3.62,,139.6576395760499,119.40025994315863,117.18357183942588,,0.833,128.1,100.4,119.8,417,583,0.417
가득염,1992,4.78,5.98,,78.20163621012617,56.30335792688141,58.09776737655775,,0.807,87.7,97.0,90.5,537,463,0.537
가득염,1993,6.4,4.15,,111.57402699186486,92.8616746668379,100.10572117207586,,0.713,119.2,101.8,114.0,443,557,0.443
가득염,1994,4.61,3.61,,105.78965690627803,97.31318578275237,104.44482252170155,,0.755,94.7,92.1,93.9,507,493,0.507
가득염,1995,6.92,3.74,,97.88830917698596,91.9977893643035,88.04914686869931,,0.75,96.1,106.1,99.1,485,515,0.485
가득염,1996,4.85,4.49,,61.52834624344019,87.52954805754777,80.4180620019072,,0.762,65.7,93.3,74.0,579,421,0.579
가득염,1997,5.27,4.17,,91.05424902909844,64.5625487783009,69.23404029417046,,0.808,99.2,81.2,93.8,537,463,0.537
가득염,1998,5.18,3.63,,88.32244792450841,89.9003946873903,93.02239189107205,,0.792,94.8,100.5,96.5,513,487,0.513
가득염,1999,6.23,2.93,,110.78465479997688,104.44454463747294,105.40240331743983,,0.876,120.3,98.9,113.8,471,529,0.471
가득염,2000,6.91,3.36,,81.40526766792821,81.9349894529608,76.53201691378068,,0.865,88.4,102.8,92.7,531,469,0.531
가득염,2001,7.53,2.69,,121.5851870250797,101.73285657849608,87.56370331728213,,0.865,132.1,89.4,119.3,427,573,0.427
가득염,2002,5.36,3.21,,68.17779551542915,65.01429527643757,60.3974410335854,,0.85,79.2,75.4,78.0,596,404,0.596
가득염,2003,7.41,2.3,,115.03007762368499,64.62095477841274,71.01251279169304,,0.816,131.1,103.7,122.9,437,563,0.437
가득염,2004,5.61,4.71,,101.3675949229298,78.2625904662642,82.45062169128781,,0.812,113.4,92.9,107.3,515,485,0.515
가득염,2005,8.22,0.39,,191.0657883398834,100.65604917898267,110.91826667507715,,0.814,227.0,114.6,193.3,359,641,0.359
가득염,2006,6.87,4.81,,86.39206002769006,60.68163218619406,67.64871961166021,,0.762,100.9,100.4,100.7,476,524,0.476
가득염,2007,4.71,3.14,,94.99515741327907,85.85367413265706,94.45220255881995,,0.777,107.4,103.9,106.3,503,497,0.503
가득염,2008,6.71,2.52,,76.94333516282518,65.67488980151683,60.072705629879046,,0.784,87.3,83.7,86.2,538,462,0.538
가득염,2009,3.38,5.62,,51.331012624953644,57.50025385795453,62.694340716276805,,0.877,63.4,110.8,77.6,591,409,0.591
가득염,2010,6.71,5.59,,85.49598812580213,86.62410063798907,84.4416625059455,,0.837,102.4,109.9,104.7,481,519,0.481
가르시아A,2000,5.54,3.26,,118.67136815992437,148.61580095760348,113.3508559013193,,0.865,126.2,117.6,123.6,428,572,0.428
가빌리오,2021,7.77,3.33,,107.24836642611533,73.62527085815758,79.58287993484223,,0.811,110.4,88.0,103.7,502,498,0.502
갈베스,2001,6.58,2.63,,137.98353927479468,197.16676502600237,167.08427086908694,,0.865,133.4,111.8,126.9,421,579,0.421
감병훈,1996,6.43,21.43,,18.916814628329668,12.165000757014882,13.710338068780855,,0.762,22.8,61.1,34.3,612,388,0.612
감병훈,1997,4.46,6.24,,84.0722118955417,54.68646493596086,53.29397325153041,,0.808,101.3,62.4,89.6,532,468,0.532
감사용,1982,1.55,3.18,,83.67223128966806,71.2882595707353,79.95008505592496,,0.765,70.3,79.1,72.9,597,403,0.597
감사용,1983,4.46,2.98,,87.90645973242972,95.23041908557379,77.94579216016388,,0.711,104.0,94.1,101.1,474,526,0.474
감사용,1985,5.08,2.39,,73.66474264425389,49.044101638511584,54.99589968142512,,0.74,81.0,77.9,80.0,585,415,0.585
강규성,1989,1.29,6.43,,47.39048649765303,78.10214716994614,87.83994684906348,,0.728,58.6,93.1,69.0,559,441,0.559
강규성,1990,4.13,6.65,,80.509662010094,75.9700926953017,83.29584819014595,,0.747,88.1,97.9,91.0,534,466,0.534
강길용,1991,3.91,5.04,,91.88704339352448,100.91267386283788,100.12863492259399,,0.766,80.6,93.2,84.4,530,470,0.53
강길용,1992,4.93,4.6,,92.21860521176211,97.74239702714787,94.16749138316203,,0.807,84.8,94.0,87.5,539,461,0.539
강길용,1993,4.03,5.03,,79.62746003090882,70.17705259212505,76.60328197171357,,0.713,73.9,94.1,79.9,529,471,0.529
강길용,1994,5.01,5.54,,76.99804814671973,77.17723330129073,66.32616268177603,,0.755,81.0,103.8,87.9,542,458,0.542
