투수명,연도,K/9,BB/9,HR/9,FIP*,ERA*,RA9*,피OPS,타자OPS(연도평균),보정FIP,보정피안타,PAI(100)_optimized,시뮬_안타_opt,시뮬_아웃_opt,시뮬_피안타율_opt,사용가중치
가내영,1992,4.12,3.95,,98.56731582190812,81.39738955525537,86.00173025561382,,0.807,95.44127929558802,82.63768894295907,86.95360472521915,339,661,0.339,"FIP:0.34,피안타:0.66"
가내영,1993,4.0,2.39,,105.6772689006182,101.93521501118632,108.86897086984503,,0.713,100.77254401927462,99.47517399419557,99.91249974521196,252,748,0.252,"FIP:0.34,피안타:0.66"
가내영,1994,3.97,2.12,,87.05122969863221,66.4831026435558,67.91835635185983,,0.755,97.02652145589836,79.96866607705677,85.71863660980941,303,697,0.303,"FIP:0.34,피안타:0.66"
가내영,1995,5.1,2.13,,97.45515428427314,74.55352466282159,77.16474781842463,,0.75,96.53381036459821,84.57410573876267,88.60555914551853,325,675,0.325,"FIP:0.34,피안타:0.66"
가내영,1996,6.29,2.1,,122.05285900791267,114.90215176661896,109.79382958028368,,0.762,115.61734400041239,104.00988261445535,107.92259962647222,249,751,0.249,"FIP:0.34,피안타:0.66"
가내영,1997,5.25,3.04,,76.19406765225713,65.03431982934926,67.70211797090147,,0.808,79.41552898648091,82.92248644893175,81.74033889164141,316,684,0.316,"FIP:0.34,피안타:0.66"
가내영,1998,4.04,1.8,,84.68986163851827,83.75745188326944,89.18779360353147,,0.792,94.98567446167283,101.96467090304904,99.61214633329132,301,699,0.301,"FIP:0.34,피안타:0.66"
가내영,1998,4.04,1.8,,84.68986163851827,83.75745188326944,89.18779360353147,,0.792,94.98567446167283,101.96467090304904,99.61214633329132,294,706,0.294,"FIP:0.34,피안타:0.66"
가내영,1999,6.36,3.72,,94.07278204402404,91.14740414504107,93.2550495156966,,0.876,90.50481320183106,94.08078773537594,92.8753754641908,336,664,0.336,"FIP:0.34,피안타:0.66"
가내영,2000,6.79,1.7,,59.49655206067116,52.91303019999295,58.23250149978749,,0.865,69.30729903169407,77.06338552653291,74.44891449225963,342,658,0.342,"FIP:0.34,피안타:0.66"
가내영,2001,5.27,3.73,,71.69433573257996,72.0521796340876,67.57079112062581,,0.865,79.17309851921036,92.87257486396786,88.25466812557417,349,651,0.349,"FIP:0.34,피안타:0.66"
가내영,2001,5.27,3.73,,71.69433573257996,72.0521796340876,67.57079112062581,,0.865,79.17309851921036,92.87257486396786,88.25466812557417,331,669,0.331,"FIP:0.34,피안타:0.66"
가내영,2002,6.48,2.88,,96.22684176287486,145.2275854094185,102.07053807149934,,0.85,111.13838700778781,82.25346770490489,91.99018027186264,300,700,0.3,"FIP:0.34,피안타:0.66"
가뇽,2020,7.97,3.62,,139.6576395760499,119.40025994315863,117.18357183942588,,0.833,128.13747028147918,100.35539988139385,109.7203571161408,273,727,0.273,"FIP:0.34,피안타:0.66"
가득염,1992,4.78,5.98,,78.20163621012617,56.30335792688141,58.09776737655775,,0.807,87.73540954319914,96.96541335849201,93.85410488644582,323,677,0.323,"FIP:0.34,피안타:0.66"
가득염,1993,6.4,4.15,,111.57402699186486,92.8616746668379,100.10572117207586,,0.713,119.2365309265991,101.75540985952091,107.64805748624777,272,728,0.272,"FIP:0.34,피안타:0.66"
가득염,1994,4.61,3.61,,105.78965690627803,97.31318578275237,104.44482252170155,,0.755,94.677313174351,92.05469420803256,92.93874331268579,312,688,0.312,"FIP:0.34,피안타:0.66"
가득염,1995,6.92,3.74,,97.88830917698596,91.9977893643035,88.04914686869931,,0.75,96.06151391089853,106.11803942545792,102.72812175489794,296,704,0.296,"FIP:0.34,피안타:0.66"
가득염,1996,4.85,4.49,,61.52834624344019,87.52954805754777,80.4180620019072,,0.762,65.67049820931663,93.32772195638768,84.00484882658836,306,694,0.306,"FIP:0.34,피안타:0.66"
가득염,1997,5.27,4.17,,91.05424902909844,64.5625487783009,69.23404029417046,,0.808,99.21169150484417,81.21770305883568,87.28323128810987,318,682,0.318,"FIP:0.34,피안타:0.66"
가득염,1998,5.18,3.63,,88.32244792450841,89.9003946873903,93.02239189107205,,0.792,94.7956664667537,100.49549813838632,98.57416257622705,287,713,0.287,"FIP:0.34,피안타:0.66"
가득염,1999,6.23,2.93,,110.78465479997688,104.44454463747294,105.40240331743983,,0.876,120.2583579802588,98.87920413864786,106.08582547962422,257,743,0.257,"FIP:0.34,피안타:0.66"
가득염,2000,6.91,3.36,,81.40526766792821,81.9349894529608,76.53201691378068,,0.865,88.37500250534558,102.78204309112138,97.92562609188147,290,710,0.29,"FIP:0.34,피안타:0.66"
가득염,2001,7.53,2.69,,121.5851870250797,101.73285657849608,87.56370331728213,,0.865,132.1189053343438,89.4447896851053,103.82965238002299,274,726,0.274,"FIP:0.34,피안타:0.66"
가득염,2002,5.36,3.21,,68.17779551542915,65.01429527643757,60.3974410335854,,0.85,79.17811677710115,75.40851893611948,76.67919898496419,360,640,0.36,"FIP:0.34,피안타:0.66"
가득염,2003,7.41,2.3,,115.03007762368499,64.62095477841274,71.01251279169304,,0.816,131.1229784042053,103.73959052915467,112.97015731914992,261,739,0.261,"FIP:0.34,피안타:0.66"
가득염,2004,5.61,4.71,,101.3675949229298,78.2625904662642,82.45062169128781,,0.812,113.43457277824899,92.93260023134101,99.8435357147224,289,711,0.289,"FIP:0.34,피안타:0.66"
가득염,2005,8.22,0.39,,191.0657883398834,100.65604917898267,110.91826667507715,,0.814,227.00042251319357,114.59604270385235,152.4860269546122,173,827,0.173,"FIP:0.34,피안타:0.66"
